DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
043912,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,     173,      94,,
043912,050,TEACHING AND TRAINING,      79,      35,,
043912,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
043912,052,WEB DEVELOPMENT,      28,       0,,
043912,059,MEDICAL THERAPY,     386,     100,,
043914,001,ACCOUNTING AND FINANCIAL SERVICES,     168,      10,,
043914,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,     226,      34,,
043914,003,AGRIBUSINESS,      10,.,,
043914,004,ANIMAL SCIENCE,      93,      17,,
043914,005,APPLIED AGRICULTURAL ENGINEERING,       8,.,,
043914,006,ARCHITECTURAL DESIGN,      37,      54,,
043914,011,BUSINESS MANAGEMENT,      63,       0,,
043914,012,CARPENTRY,      91,      33,,
043914,014,CULINARY ARTS,     157,      75,,
043914,015,CYBERSECURITY,     180,      33,,
043914,017,DIGITAL COMMUNICATIONS,      96,      15,,
043914,019,EARLY LEARNING,.,       0,,
043914,020,ELECTRICAL,       5,       0,,
043914,021,EMERGENCY SERVICES,      29,.,,
043914,022,ENGINEERING,     147,      36,,
043914,023,ENTREPRENEURSHIP,      56,       5,,
043914,024,ENVIRONMENTAL AND NATURAL RESOURCES,       7,.,,
043914,025,EXERCISE SCIENCE AND WELLNESS,.,.,,
043914,026,FAMILY AND COMMUNITY SERVICES,      49,      19,,
043914,027,FOOD AND SCIENCE TECHNOLOGY,       7,.,,
043914,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
043914,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     176,      21,,
043914,030,HEALTH AND WELLNESS,      30,       8,,
043914,031,HEALTH INFORMATICS,     481,       0,,
043914,032,HEALTHCARE DIAGNOSTICS,     439,     180,,
043914,033,HEALTHCARE THERAPEUTIC,     439,     180,,
043914,034,HVAC AND SHEET METAL,      17,       0,,
043914,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      75,.,,
043914,036,LAW ENFORCEMENT,     136,      36,,
043914,037,LEGAL STUDIES,      13,       0,,
043914,038,LODGING AND RESORT MANAGEMENT,.,       0,,
043914,039,MANUFACTURING TECHNOLOGY,      36,       0,,
043914,040,MARKETING AND SALES,     130,       5,,
043914,041,MASONRY,       5,       0,,
043914,042,NETWORKING SYSTEMS,     162,      20,,
043914,043,NURSING SCIENCE,     547,.,,
043914,045,PLANT SCIENCE,      57,       6,,
043914,046,PLUMBING AND PIPEFITTING,      53,       0,,
043914,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      37,       0,,
043914,049,RENEWABLE ENERGY,      43,       0,,
043914,050,TEACHING AND TRAINING,     120,      49,,
043914,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      13,       0,,
043914,052,WEB DEVELOPMENT,      45,       0,,
043914,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
043914,059,MEDICAL THERAPY,     488,      96,,
043914,060,WELDING,      71,      10,,
043917,001,ACCOUNTING AND FINANCIAL SERVICES,       7,       0,,
043917,003,AGRIBUSINESS,      15,       0,,
043917,004,ANIMAL SCIENCE,      53,       6,,
043917,005,APPLIED AGRICULTURAL ENGINEERING,      64,       5,,
043917,009,BIO-MEDICAL SCIENCE,.,       0,,
043917,011,BUSINESS MANAGEMENT,      23,       0,,
043917,014,CULINARY ARTS,.,       0,,
043917,015,CYBERSECURITY,.,       0,,
043917,017,DIGITAL COMMUNICATIONS,.,       0,,
043917,019,EARLY LEARNING,.,       0,,
043917,021,EMERGENCY SERVICES,      10,       0,,
043917,022,ENGINEERING,.,       0,,
043917,023,ENTREPRENEURSHIP,      36,.,,
043917,024,ENVIRONMENTAL AND NATURAL RESOURCES,      45,.,,
043917,025,EXERCISE SCIENCE AND WELLNESS,      10,       0,,
043917,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
043917,027,FOOD AND SCIENCE TECHNOLOGY,      37,       5,,
043917,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,       7,.,,
043917,030,HEALTH AND WELLNESS,.,       0,,
043917,031,HEALTH INFORMATICS,      44,.,,
043917,032,HEALTHCARE DIAGNOSTICS,      19,.,,
043917,033,HEALTHCARE THERAPEUTIC,      19,.,,
043917,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
043917,036,LAW ENFORCEMENT,.,       0,,
043917,037,LEGAL STUDIES,.,       0,,
043917,042,NETWORKING SYSTEMS,.,       0,,
043917,043,NURSING SCIENCE,      14,       0,,
043917,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
043917,045,PLANT SCIENCE,      65,.,,
043917,049,RENEWABLE ENERGY,.,       0,,
043917,050,TEACHING AND TRAINING,.,       0,,
043917,052,WEB DEVELOPMENT,.,       0,,
043917,059,MEDICAL THERAPY,      13,.,,
043918,001,ACCOUNTING AND FINANCIAL SERVICES,      65,.,,
043918,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      26,.,,
043918,003,AGRIBUSINESS,      14,.,,
043918,004,ANIMAL SCIENCE,      32,      13,,
043918,005,APPLIED AGRICULTURAL ENGINEERING,      20,.,,
043918,006,ARCHITECTURAL DESIGN,.,       0,,
043918,007,AUTOMOTIVE,      16,       0,,
043918,009,BIO-MEDICAL SCIENCE,      30,       0,,
043918,011,BUSINESS MANAGEMENT,      72,       5,,
043918,012,CARPENTRY,      34,       0,,
043918,013,COSMETOLOGY AND PERSONAL CARE SERVICES,       7,      19,,
043918,014,CULINARY ARTS,      13,       0,,
043918,015,CYBERSECURITY,      36,       0,,
043918,017,DIGITAL COMMUNICATIONS,      22,.,,
043918,019,EARLY LEARNING,      15,       0,,
043918,021,EMERGENCY SERVICES,.,       0,,
043918,022,ENGINEERING,.,       0,,
043918,023,ENTREPRENEURSHIP,     103,      14,,
043918,024,ENVIRONMENTAL AND NATURAL RESOURCES,       8,       0,,
043918,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
043918,026,FAMILY AND COMMUNITY SERVICES,      17,.,,
043918,027,FOOD AND SCIENCE TECHNOLOGY,       8,       0,,
043918,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
043918,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      13,.,,
043918,030,HEALTH AND WELLNESS,      13,.,,
043918,031,HEALTH INFORMATICS,      30,.,,
043918,032,HEALTHCARE DIAGNOSTICS,      19,.,,
043918,033,HEALTHCARE THERAPEUTIC,      19,.,,
043918,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      20,       0,,
043918,036,LAW ENFORCEMENT,       5,.,,
043918,037,LEGAL STUDIES,.,.,,
043918,040,MARKETING AND SALES,      29,       0,,
043918,042,NETWORKING SYSTEMS,      35,       0,,
043918,043,NURSING SCIENCE,      20,.,,
043918,045,PLANT SCIENCE,      29,.,,
043918,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      52,.,,
043918,049,RENEWABLE ENERGY,.,       0,,
043918,050,TEACHING AND TRAINING,      27,      13,,
043918,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      16,       0,,
043918,052,WEB DEVELOPMENT,      30,       0,,
043918,059,MEDICAL THERAPY,      16,.,,
043919,001,ACCOUNTING AND FINANCIAL SERVICES,     258,      14,,
043919,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      44,.,,
043919,003,AGRIBUSINESS,      22,       0,,
043919,011,BUSINESS MANAGEMENT,     304,      69,,
043919,014,CULINARY ARTS,.,       0,,
043919,015,CYBERSECURITY,      89,      10,,
043919,017,DIGITAL COMMUNICATIONS,      42,.,,
043919,019,EARLY LEARNING,      33,.,,
043919,022,ENGINEERING,      82,      13,,
043919,023,ENTREPRENEURSHIP,     143,       8,,
043919,025,EXERCISE SCIENCE AND WELLNESS,       8,       0,,
043919,026,FAMILY AND COMMUNITY SERVICES,      23,       0,,
043919,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      92,       7,,
043919,031,HEALTH INFORMATICS,     275,       0,,
043919,032,HEALTHCARE DIAGNOSTICS,     134,      48,,
043919,033,HEALTHCARE THERAPEUTIC,     132,      50,,
043919,037,LEGAL STUDIES,       5,       0,,
043919,039,MANUFACTURING TECHNOLOGY,.,       0,,
043919,040,MARKETING AND SALES,      10,       0,,
043919,042,NETWORKING SYSTEMS,      14,       0,,
043919,043,NURSING SCIENCE,     160,      18,,
043919,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      73,      29,,
043919,050,TEACHING AND TRAINING,      44,      17,,
043919,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      10,       0,,
043919,052,WEB DEVELOPMENT,      14,       0,,
043919,059,MEDICAL THERAPY,     104,      34,,
044902,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
044902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
044902,003,AGRIBUSINESS,.,.,,
044902,005,APPLIED AGRICULTURAL ENGINEERING,      43,      12,,
044902,006,ARCHITECTURAL DESIGN,.,       0,,
044902,007,AUTOMOTIVE,.,       0,,
044902,008,AVIATION MAINTENANCE,.,       0,,
044902,011,BUSINESS MANAGEMENT,.,       0,,
044902,012,CARPENTRY,.,       0,,
044902,014,CULINARY ARTS,.,       0,,
044902,016,DIESEL AND HEAVY EQUIPMENT,.,       0,,
044902,017,DIGITAL COMMUNICATIONS,.,       0,,
044902,018,DISTRIBUTION AND LOGISTICS,.,       0,,
044902,019,EARLY LEARNING,.,       0,,
044902,020,ELECTRICAL,.,       0,,
044902,023,ENTREPRENEURSHIP,.,       0,,
044902,025,EXERCISE SCIENCE AND WELLNESS,.,.,,
044902,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
044902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      18,.,,
044902,030,HEALTH AND WELLNESS,.,       0,,
044902,031,HEALTH INFORMATICS,      24,       0,,
044902,032,HEALTHCARE DIAGNOSTICS,      18,       7,,
044902,033,HEALTHCARE THERAPEUTIC,      18,       7,,
044902,034,HVAC AND SHEET METAL,.,       0,,
044902,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
044902,037,LEGAL STUDIES,.,       0,,
044902,038,LODGING AND RESORT MANAGEMENT,.,       0,,
044902,040,MARKETING AND SALES,.,       0,,
044902,041,MASONRY,.,       0,,
044902,042,NETWORKING SYSTEMS,.,       0,,
044902,043,NURSING SCIENCE,      24,       0,,
044902,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
044902,046,PLUMBING AND PIPEFITTING,.,       0,,
044902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
044902,050,TEACHING AND TRAINING,.,       0,,
044902,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
044902,052,WEB DEVELOPMENT,.,       0,,
044902,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
044902,059,MEDICAL THERAPY,      18,       7,,
044902,060,WELDING,       6,.,,
045902,001,ACCOUNTING AND FINANCIAL SERVICES,      10,.,,
045902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
045902,003,AGRIBUSINESS,      19,       0,,
045902,004,ANIMAL SCIENCE,      87,      10,,
045902,005,APPLIED AGRICULTURAL ENGINEERING,.,.,,
045902,011,BUSINESS MANAGEMENT,      31,       5,,
045902,012,CARPENTRY,       7,       0,,
045902,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,.,,
045902,014,CULINARY ARTS,      28,.,,
045902,015,CYBERSECURITY,      11,       0,,
045902,017,DIGITAL COMMUNICATIONS,      17,       0,,
045902,020,ELECTRICAL,       7,       0,,
045902,023,ENTREPRENEURSHIP,       9,.,,
045902,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
045902,025,EXERCISE SCIENCE AND WELLNESS,       8,       0,,
045902,026,FAMILY AND COMMUNITY SERVICES,      18,.,,
045902,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
045902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      38,.,,
045902,030,HEALTH AND WELLNESS,       8,.,,
045902,034,HVAC AND SHEET METAL,       7,       0,,
045902,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
045902,037,LEGAL STUDIES,.,       0,,
045902,038,LODGING AND RESORT MANAGEMENT,.,       0,,
045902,039,MANUFACTURING TECHNOLOGY,.,       0,,
045902,040,MARKETING AND SALES,.,       0,,
045902,041,MASONRY,       7,       0,,
045902,042,NETWORKING SYSTEMS,.,       0,,
045902,045,PLANT SCIENCE,     125,      14,,
045902,046,PLUMBING AND PIPEFITTING,      73,       5,,
045902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      10,.,,
045902,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
045902,052,WEB DEVELOPMENT,       8,       0,,
045902,054,CONSTRUCTION MANAGEMENT AND INSPECTION,       7,       0,,
045902,060,WELDING,      19,.,,
045903,001,ACCOUNTING AND FINANCIAL SERVICES,      46,       0,,
045903,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
045903,003,AGRIBUSINESS,       9,       0,,
045903,004,ANIMAL SCIENCE,       5,       0,,
045903,005,APPLIED AGRICULTURAL ENGINEERING,       8,       0,,
045903,006,ARCHITECTURAL DESIGN,.,       0,,
045903,011,BUSINESS MANAGEMENT,.,       0,,
045903,013,COSMETOLOGY AND PERSONAL CARE SERVICES,      11,      13,,
045903,014,CULINARY ARTS,      31,      16,,
045903,015,CYBERSECURITY,.,       0,,
045903,017,DIGITAL COMMUNICATIONS,      11,       9,,
045903,019,EARLY LEARNING,.,       0,,
045903,022,ENGINEERING,.,       0,,
045903,023,ENTREPRENEURSHIP,.,       0,,
045903,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
045903,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
045903,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
045903,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
045903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
045903,030,HEALTH AND WELLNESS,.,       0,,
045903,031,HEALTH INFORMATICS,      20,       0,,
045903,032,HEALTHCARE DIAGNOSTICS,       9,.,,
045903,033,HEALTHCARE THERAPEUTIC,       9,.,,
045903,036,LAW ENFORCEMENT,.,       0,,
045903,039,MANUFACTURING TECHNOLOGY,.,       0,,
045903,042,NETWORKING SYSTEMS,.,       0,,
045903,043,NURSING SCIENCE,       8,       0,,
045903,045,PLANT SCIENCE,      26,.,,
045903,046,PLUMBING AND PIPEFITTING,.,       0,,
045903,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      16,.,,
045903,050,TEACHING AND TRAINING,.,       0,,
045903,052,WEB DEVELOPMENT,.,       0,,
045903,059,MEDICAL THERAPY,       9,.,,
045903,060,WELDING,      23,      17,,
045905,001,ACCOUNTING AND FINANCIAL SERVICES,       5,       0,,
045905,003,AGRIBUSINESS,      30,.,,
045905,004,ANIMAL SCIENCE,      14,       0,,
045905,005,APPLIED AGRICULTURAL ENGINEERING,      71,      14,,
045905,011,BUSINESS MANAGEMENT,       5,       0,,
045905,012,CARPENTRY,.,       0,,
045905,015,CYBERSECURITY,       5,       0,,
045905,017,DIGITAL COMMUNICATIONS,.,       0,,
045905,019,EARLY LEARNING,.,       0,,
045905,023,ENTREPRENEURSHIP,       5,       0,,
045905,024,ENVIRONMENTAL AND NATURAL RESOURCES,      38,.,,
045905,026,FAMILY AND COMMUNITY SERVICES,      13,       0,,
045905,027,FOOD AND SCIENCE TECHNOLOGY,      85,.,,
045905,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
045905,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
045905,042,NETWORKING SYSTEMS,       5,       0,,
045905,045,PLANT SCIENCE,      79,      10,,
045905,050,TEACHING AND TRAINING,.,       0,,
045905,052,WEB DEVELOPMENT,       5,       0,,
046802,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
046802,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
046802,003,AGRIBUSINESS,       5,       0,,
046802,005,APPLIED AGRICULTURAL ENGINEERING,.,       0,,
046802,007,AUTOMOTIVE,.,       0,,
046802,011,BUSINESS MANAGEMENT,.,       0,,
046802,012,CARPENTRY,.,       0,,
046802,014,CULINARY ARTS,.,       0,,
046802,017,DIGITAL COMMUNICATIONS,.,       0,,
046802,023,ENTREPRENEURSHIP,.,       0,,
046802,026,FAMILY AND COMMUNITY SERVICES,       6,       0,,
046802,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,       5,       0,,
046802,030,HEALTH AND WELLNESS,.,       0,,
046802,031,HEALTH INFORMATICS,.,       0,,
046802,032,HEALTHCARE DIAGNOSTICS,.,       0,,
046802,033,HEALTHCARE THERAPEUTIC,.,       0,,
046802,036,LAW ENFORCEMENT,.,       0,,
046802,037,LEGAL STUDIES,.,       0,,
046802,039,MANUFACTURING TECHNOLOGY,.,       0,,
046802,043,NURSING SCIENCE,.,       0,,
046802,046,PLUMBING AND PIPEFITTING,.,       0,,
046802,050,TEACHING AND TRAINING,.,       0,,
046802,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
046802,059,MEDICAL THERAPY,.,       0,,
046802,060,WELDING,.,       0,,
046901,001,ACCOUNTING AND FINANCIAL SERVICES,     105,.,,
046901,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,     103,       0,,
046901,003,AGRIBUSINESS,       8,       0,,
046901,004,ANIMAL SCIENCE,      67,      16,,
046901,005,APPLIED AGRICULTURAL ENGINEERING,      66,      11,,
046901,007,AUTOMOTIVE,      13,       7,,
046901,009,BIO-MEDICAL SCIENCE,      15,       0,,
046901,011,BUSINESS MANAGEMENT,     110,       5,,
046901,014,CULINARY ARTS,.,       0,,
046901,015,CYBERSECURITY,      69,       9,,
046901,017,DIGITAL COMMUNICATIONS,      21,       6,,
046901,019,EARLY LEARNING,     101,.,,
046901,021,EMERGENCY SERVICES,      40,       0,,
046901,022,ENGINEERING,       5,       0,,
046901,023,ENTREPRENEURSHIP,     107,.,,
046901,024,ENVIRONMENTAL AND NATURAL RESOURCES,      32,       0,,
046901,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
046901,026,FAMILY AND COMMUNITY SERVICES,     118,       8,,
046901,027,FOOD AND SCIENCE TECHNOLOGY,       6,       0,,
046901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     207,      46,,
046901,030,HEALTH AND WELLNESS,      43,       0,,
046901,031,HEALTH INFORMATICS,     249,       0,,
046901,032,HEALTHCARE DIAGNOSTICS,     227,     125,,
046901,033,HEALTHCARE THERAPEUTIC,     222,     131,,
046901,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      13,       0,,
046901,036,LAW ENFORCEMENT,     117,      43,,
046901,037,LEGAL STUDIES,       8,       0,,
046901,039,MANUFACTURING TECHNOLOGY,.,       0,,
046901,040,MARKETING AND SALES,      40,.,,
046901,042,NETWORKING SYSTEMS,      57,.,,
046901,043,NURSING SCIENCE,     245,      57,,
046901,045,PLANT SCIENCE,      37,       0,,
046901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      29,.,,
046901,049,RENEWABLE ENERGY,      13,       0,,
046901,050,TEACHING AND TRAINING,     141,      16,,
046901,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
046901,052,WEB DEVELOPMENT,      51,.,,
046901,059,MEDICAL THERAPY,     292,      24,,
046901,064,PRINTING AND IMAGING,.,       0,,
046902,001,ACCOUNTING AND FINANCIAL SERVICES,     107,       8,,
046902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,     230,      12,,
046902,003,AGRIBUSINESS,      99,.,,
046902,004,ANIMAL SCIENCE,     215,      26,,
046902,005,APPLIED AGRICULTURAL ENGINEERING,     254,      27,,
046902,006,ARCHITECTURAL DESIGN,      89,      22,,
046902,007,AUTOMOTIVE,      55,      18,,
046902,008,AVIATION MAINTENANCE,      16,.,,
046902,009,BIO-MEDICAL SCIENCE,.,       0,,
046902,011,BUSINESS MANAGEMENT,     103,       9,,
046902,012,CARPENTRY,      34,       6,,
046902,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
046902,014,CULINARY ARTS,     113,      17,,
046902,015,CYBERSECURITY,      86,      13,,
046902,016,DIESEL AND HEAVY EQUIPMENT,.,       0,,
046902,017,DIGITAL COMMUNICATIONS,      73,       0,,
046902,019,EARLY LEARNING,     243,       6,,
046902,020,ELECTRICAL,      11,.,,
046902,021,EMERGENCY SERVICES,     103,       0,,
046902,022,ENGINEERING,      73,       8,,
046902,023,ENTREPRENEURSHIP,     148,      10,,
046902,024,ENVIRONMENTAL AND NATURAL RESOURCES,     122,       0,,
046902,025,EXERCISE SCIENCE AND WELLNESS,      36,.,,
046902,026,FAMILY AND COMMUNITY SERVICES,     519,      37,,
046902,027,FOOD AND SCIENCE TECHNOLOGY,      73,.,,
046902,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
046902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     389,      21,,
046902,030,HEALTH AND WELLNESS,     200,       7,,
046902,031,HEALTH INFORMATICS,     478,       0,,
046902,032,HEALTHCARE DIAGNOSTICS,     465,     137,,
046902,033,HEALTHCARE THERAPEUTIC,     460,     142,,
046902,034,HVAC AND SHEET METAL,      11,.,,
046902,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,       6,       0,,
046902,036,LAW ENFORCEMENT,     288,      30,,
046902,037,LEGAL STUDIES,      15,.,,
046902,038,LODGING AND RESORT MANAGEMENT,      14,.,,
046902,039,MANUFACTURING TECHNOLOGY,     102,       0,,
046902,040,MARKETING AND SALES,      39,.,,
046902,041,MASONRY,      11,.,,
046902,042,NETWORKING SYSTEMS,      31,       0,,
046902,043,NURSING SCIENCE,     528,      13,,
046902,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
046902,045,PLANT SCIENCE,     317,       5,,
046902,046,PLUMBING AND PIPEFITTING,      22,.,,
046902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      58,       7,,
046902,049,RENEWABLE ENERGY,      17,       0,,
046902,050,TEACHING AND TRAINING,     401,      27,,
046902,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      36,.,,
046902,052,WEB DEVELOPMENT,      12,       0,,
046902,054,CONSTRUCTION MANAGEMENT AND INSPECTION,       8,       0,,
046902,059,MEDICAL THERAPY,     452,      54,,
046902,060,WELDING,      19,       0,,
047901,001,ACCOUNTING AND FINANCIAL SERVICES,      18,       0,,
047901,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,       7,       0,,
047901,003,AGRIBUSINESS,      24,       9,,
047901,004,ANIMAL SCIENCE,      43,.,,
047901,005,APPLIED AGRICULTURAL ENGINEERING,      15,.,,
047901,007,AUTOMOTIVE,      27,.,,
047901,011,BUSINESS MANAGEMENT,      23,       0,,
047901,014,CULINARY ARTS,.,       0,,
047901,015,CYBERSECURITY,       7,       0,,
047901,017,DIGITAL COMMUNICATIONS,      26,.,,
047901,019,EARLY LEARNING,      32,       9,,
047901,022,ENGINEERING,.,       0,,
047901,023,ENTREPRENEURSHIP,      18,       0,,
047901,024,ENVIRONMENTAL AND NATURAL RESOURCES,       6,       0,,
047901,025,EXERCISE SCIENCE AND WELLNESS,      10,       5,,
047901,026,FAMILY AND COMMUNITY SERVICES,      50,      26,,
047901,027,FOOD AND SCIENCE TECHNOLOGY,       5,       0,,
047901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      24,       6,,
047901,030,HEALTH AND WELLNESS,       9,       7,,
047901,031,HEALTH INFORMATICS,      53,       0,,
047901,032,HEALTHCARE DIAGNOSTICS,      31,      23,,
047901,033,HEALTHCARE THERAPEUTIC,      31,      23,,
047901,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      16,       0,,
047901,038,LODGING AND RESORT MANAGEMENT,.,       0,,
047901,040,MARKETING AND SALES,      10,       0,,
047901,042,NETWORKING SYSTEMS,      23,       0,,
047901,043,NURSING SCIENCE,      54,       0,,
047901,045,PLANT SCIENCE,       7,       0,,
047901,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
047901,050,TEACHING AND TRAINING,      33,       8,,
047901,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
047901,052,WEB DEVELOPMENT,      25,.,,
047901,054,CONSTRUCTION MANAGEMENT AND INSPECTION,       5,       0,,
047901,059,MEDICAL THERAPY,      26,      23,,
047901,060,WELDING,      29,.,,
047901,061,DRONE (UNMANNED FLIGHT),       7,       0,,
047902,001,ACCOUNTING AND FINANCIAL SERVICES,      30,.,,
047902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
047902,003,AGRIBUSINESS,      35,       5,,
047902,004,ANIMAL SCIENCE,      89,      11,,
047902,005,APPLIED AGRICULTURAL ENGINEERING,      16,       0,,
047902,006,ARCHITECTURAL DESIGN,       8,       0,,
047902,007,AUTOMOTIVE,.,       0,,
047902,011,BUSINESS MANAGEMENT,.,.,,
047902,012,CARPENTRY,       8,       0,,
047902,014,CULINARY ARTS,.,       0,,
047902,015,CYBERSECURITY,      28,       0,,
047902,017,DIGITAL COMMUNICATIONS,      13,       0,,
047902,019,EARLY LEARNING,      24,.,,
047902,023,ENTREPRENEURSHIP,.,.,,
047902,024,ENVIRONMENTAL AND NATURAL RESOURCES,      73,       0,,
047902,025,EXERCISE SCIENCE AND WELLNESS,      21,       0,,
047902,026,FAMILY AND COMMUNITY SERVICES,      56,      11,,
047902,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
047902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      24,.,,
047902,030,HEALTH AND WELLNESS,      16,       0,,
047902,031,HEALTH INFORMATICS,.,       0,,
047902,032,HEALTHCARE DIAGNOSTICS,      13,       0,,
047902,033,HEALTHCARE THERAPEUTIC,      13,       0,,
047902,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      24,       0,,
047902,038,LODGING AND RESORT MANAGEMENT,.,       0,,
047902,040,MARKETING AND SALES,       5,       0,,
047902,042,NETWORKING SYSTEMS,      40,       6,,
047902,043,NURSING SCIENCE,      13,       0,,
047902,045,PLANT SCIENCE,      59,       6,,
047902,046,PLUMBING AND PIPEFITTING,.,       0,,
047902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      13,       6,,
047902,050,TEACHING AND TRAINING,      32,.,,
047902,051,"TRAVEL, TOURISM, AND ATTRACTIONS",       5,       0,,
047902,052,WEB DEVELOPMENT,      52,       8,,
047902,059,MEDICAL THERAPY,.,       0,,
047902,060,WELDING,      19,.,,
047902,061,DRONE (UNMANNED FLIGHT),.,       0,,
047902,063,INDUSTRIAL MAINTENANCE,.,       0,,
047903,001,ACCOUNTING AND FINANCIAL SERVICES,       9,       0,,
047903,004,ANIMAL SCIENCE,       8,       0,,
047903,005,APPLIED AGRICULTURAL ENGINEERING,      32,      10,,
047903,027,FOOD AND SCIENCE TECHNOLOGY,       9,       0,,
047903,045,PLANT SCIENCE,      46,       0,,
047905,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
047905,003,AGRIBUSINESS,       9,       0,,
047905,004,ANIMAL SCIENCE,      19,.,,
047905,005,APPLIED AGRICULTURAL ENGINEERING,.,       0,,
047905,011,BUSINESS MANAGEMENT,.,       0,,
047905,023,ENTREPRENEURSHIP,.,       0,,
047905,024,ENVIRONMENTAL AND NATURAL RESOURCES,       7,       0,,
