DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
001906,032,HEALTHCARE DIAGNOSTICS,.,       0,,
001906,033,HEALTHCARE THERAPEUTIC,.,       0,,
001906,038,LODGING AND RESORT MANAGEMENT,.,       0,,
001906,043,NURSING SCIENCE,.,       0,,
001906,045,PLANT SCIENCE,       5,       0,,
001906,050,TEACHING AND TRAINING,       8,.,,
001906,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
001907,001,ACCOUNTING AND FINANCIAL SERVICES,     145,       8,,
001907,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      51,       6,,
001907,003,AGRIBUSINESS,      11,.,,
001907,004,ANIMAL SCIENCE,      44,.,,
001907,005,APPLIED AGRICULTURAL ENGINEERING,      26,.,,
001907,006,ARCHITECTURAL DESIGN,.,       0,,
001907,011,BUSINESS MANAGEMENT,      32,       0,,
001907,012,CARPENTRY,      41,      20,,
001907,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       9,,
001907,014,CULINARY ARTS,      37,      13,,
001907,015,CYBERSECURITY,.,       0,,
001907,017,DIGITAL COMMUNICATIONS,      36,       8,,
001907,019,EARLY LEARNING,      12,.,,
001907,020,ELECTRICAL,       6,       0,,
001907,021,EMERGENCY SERVICES,       8,       0,,
001907,022,ENGINEERING,      10,.,,
001907,023,ENTREPRENEURSHIP,      49,.,,
001907,024,ENVIRONMENTAL AND NATURAL RESOURCES,       8,       0,,
001907,026,FAMILY AND COMMUNITY SERVICES,       6,.,,
001907,027,FOOD AND SCIENCE TECHNOLOGY,       7,       0,,
001907,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      31,.,,
001907,030,HEALTH AND WELLNESS,.,       0,,
001907,031,HEALTH INFORMATICS,     115,.,,
001907,032,HEALTHCARE DIAGNOSTICS,     127,      44,,
001907,033,HEALTHCARE THERAPEUTIC,     120,      52,,
001907,034,HVAC AND SHEET METAL,       6,       0,,
001907,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
001907,036,LAW ENFORCEMENT,      46,      11,,
001907,037,LEGAL STUDIES,      11,.,,
001907,038,LODGING AND RESORT MANAGEMENT,       5,       0,,
001907,039,MANUFACTURING TECHNOLOGY,      54,      13,,
001907,040,MARKETING AND SALES,       6,       0,,
001907,041,MASONRY,       6,       0,,
001907,042,NETWORKING SYSTEMS,       6,       0,,
001907,043,NURSING SCIENCE,     140,      13,,
001907,045,PLANT SCIENCE,      18,.,,
001907,046,PLUMBING AND PIPEFITTING,       6,       0,,
001907,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,.,,
001907,049,RENEWABLE ENERGY,      19,       5,,
001907,050,TEACHING AND TRAINING,      31,      12,,
001907,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      14,       0,,
001907,052,WEB DEVELOPMENT,       6,       0,,
001907,054,CONSTRUCTION MANAGEMENT AND INSPECTION,      12,       0,,
001907,059,MEDICAL THERAPY,     105,      23,,
001907,060,WELDING,      15,.,,
001907,064,PRINTING AND IMAGING,.,       0,,
001908,001,ACCOUNTING AND FINANCIAL SERVICES,      22,       0,,
001908,003,AGRIBUSINESS,       9,       0,,
001908,004,ANIMAL SCIENCE,      28,      11,,
001908,005,APPLIED AGRICULTURAL ENGINEERING,      36,       9,,
001908,011,BUSINESS MANAGEMENT,       7,       0,,
001908,012,CARPENTRY,.,       0,,
001908,014,CULINARY ARTS,.,       0,,
001908,017,DIGITAL COMMUNICATIONS,.,       0,,
001908,019,EARLY LEARNING,      12,       0,,
001908,020,ELECTRICAL,.,       0,,
001908,021,EMERGENCY SERVICES,.,       0,,
